Rank,Feature,Importance,Normalized Score,Feature Description
27,scheduled_charge_amt_sum_lag1d_36m,259788.3133,0.46%,sum of amounts scheduled charges in the past 36 months
28,retry_charge_pct_lag1d_7d,256797.4797,0.46%,percentage of retried charges in the past 7 days
29,delinquent_amt_sum_dpd_gte3_lag1d_60d,252031.9722,0.45%,sum of installment amounts that are 3+ dpd in the past 60 days
30,paid_amt_max_lag1d_7d,251681.1515,0.45%,max installment amount paid in the past 7 days
31,early_amt_sum_lag1d_6m,248295.1725,0.44%,sum of installment amounts that are paid early in the past 6 months
32,transact_extension_request_cnt_3m,242969.6131,0.43%,count of extensions requested in the past 3 months
33,scheduled_charge_amt_pct_lag1d_36m,236176.4164,0.42%,percentage of scheduled charges in the past 36 months
34,due_amt_min_lag1d_60d_90d,233847.1923,0.42%,min installment amount due in the past 30 days starting from 60 days ago
35,transact_extension_request_cnt_30d,210672.0797,0.38%,count of extentsions requested in the past 30 days
36,card_active_cnt_lag1d,206691.3058,0.37%,count of active payment cards
37,delinquent_amt_sum_dpd_gte7_lag1d_7d,201007.062,0.36%,sum of installment amounts that are 7+ dpd in the past 7 days
38,transact_checkout_order_cnt_lag1d_36m,196169.9223,0.35%,count of checkout orders in the past 36 months
39,delinquent_amt_sum_dpd_gte14_lag1d_12m,194406.2805,0.35%,sum of installment amounts that are 14+ delinquent in the past 12 months
40,paid_amt_max_lag1d_36m,194183.4109,0.35%,max amount paid in the past 36 months
41,pr_cnt_lag1d_14d,192571.2756,0.34%,count of purchase request in the past 14 days
